"","Katlengo_Contigs","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7"
"37","1B45_contig_131",0.00842408213037806,0.00308215408784742,0.00336636130334388,0.0033520089001152,0.00418563296195569,0.00318612973813207,0.00309693649625887
"38","1B45_contig_132",0,0,0,0,5.25176570927853e-06,0,0
"39","1B45_contig_133",2.58844650526201e-06,0,4.04099222927297e-06,0,5.25176570927853e-06,1.79748560164602e-06,0
"40","1B45_contig_134",0,0,2.02049611463648e-06,0,0,0,0
"41","1B45_contig_135",0.000181083342962286,0.000254523233890163,0.000171377131108072,0.000141529230350043,0.000241019174224417,0.000222209923175568,0.000209030481426328
"42","1B45_contig_136",1.55306790315721e-05,0,0,0,0,0,0
"43","1B45_contig_137",0,0,0,0,1.75058856975951e-06,0,0
"44","1B45_contig_138",1.03537860210481e-05,0,0,0,0,0,0
"45","1B45_contig_139",0,0,2.02049611463648e-06,0,3.50117713951902e-06,0,0
"46","1B45_contig_14",0.000360905025041362,0.000217161443680591,0.0003119187028527,0.000261718668346818,0.0011817853770928,0.000143039624999278,0.000133517849963574
"47","1B45_contig_140",1.03537860210481e-05,0,2.02049611463648e-06,0,3.50117713951902e-06,0,0
"48","1B45_contig_141",2.58844650526201e-06,2.71451804600739e-06,0,1.55453431719033e-05,5.25176570927853e-06,0,0
"49","1B45_contig_142",0,0,0,1.94316789648791e-06,0,0,0
"50","1B45_contig_143",5.17689301052403e-06,8.14355413802217e-06,2.02049611463648e-06,3.88633579297582e-06,7.00235427903804e-06,0,0
"51","1B45_contig_144",0,0,0,0,0,0,0
"52","1B45_contig_145",0,0,0,0,0,0,0
"53","1B45_contig_146",0,0,0,0,3.50117713951902e-06,0,0
"54","1B45_contig_147",0,0,4.04099222927297e-06,0,0,0,0
"55","1B45_contig_148",0,0,2.02049611463648e-06,1.16590073789275e-05,0,0,0
"56","1B45_contig_149",0,0,0,0,0,0,0
"57","1B45_contig_15",0.00094927735854029,0.000386476757548017,0.000380604554092859,0.000501651728375278,0.00135707718492908,0.000364297823987486,0.000342611841415962
"58","1B45_contig_150",7.76533951578604e-06,0,0,0,5.25176570927853e-06,0,0
"59","1B45_contig_151",2.58844650526201e-06,0,0,0,1.75058856975951e-06,0,0
"60","1B45_contig_152",0,0,0,0,5.25176570927853e-06,0,0
"61","1B45_contig_153",2.58844650526201e-06,2.71451804600739e-06,0,0,1.75058856975951e-06,0,0
"62","1B45_contig_154",0,0,0,0,1.75058856975951e-06,0,0
"63","1B45_contig_155",0,0,0,0,0,0,0
"64","1B45_contig_156",0,0,0,0,1.05035314185571e-05,0,0
"65","1B45_contig_157",0,0,0,0,5.25176570927853e-06,0,0
"66","1B45_contig_158",0,0,0,0,0,0,0
"67","1B45_contig_159",0,0,0,0,0,0,0
"68","1B45_contig_16",0.000396032315305088,0.000225304997818613,0.000240439037641742,0.000254554994439917,0.0010635283737232,0.000143798848131682,6.2980117907346e-05
"69","1B45_contig_160",0,0,0,1.94316789648791e-06,5.25176570927853e-06,0,0
"70","1B45_contig_161",0,0,0,0,2.45082399766331e-05,0,0
"71","1B45_contig_162",0,2.71451804600739e-06,4.04099222927297e-06,0,3.50117713951902e-06,0,0
"72","1B45_contig_163",0,2.71451804600739e-06,2.02049611463648e-06,0,3.50117713951902e-06,0,0
"73","1B45_contig_164",0,0,0,0,1.75058856975951e-06,0,0
"74","1B45_contig_165",0,0,0,0,5.25176570927853e-06,0,0
"75","1B45_contig_166",0,0,0,0,0,0,2.51920471629384e-06
"76","1B45_contig_167",0,0,8.08198445854594e-06,1.94316789648791e-06,8.75294284879755e-06,0,0
"77","1B45_contig_168",0,2.71451804600739e-06,0,0,0,0,0
"78","1B45_contig_169",5.17689301052403e-06,0,0,0,0,0,0
"79","1B45_contig_17",0.000569458231157643,0.000601619648237861,0.000606727701424808,0.000547862012381016,0.00169312383108922,0.000440888768937672,0.000493764124393593
